,DOI,mat,app,prod
113,10.1016/j.fuel.2014.05.058,red mud,geopolymer,concrete
114,10.1016/j.cemconcomp.2009.04.007,limestone powder,supplementary cementitious material,concrete
115,10.1016/j.cemconcomp.2008.12.003,coal fly ash,supplementary cementitious material,concrete
116,10.1016/j.apenergy.2016.05.012,unknown,unknown,concrete
117,10.1016/j.cemconcomp.2007.12.003,blast furnace slag,supplementary cementitious material,concrete
118,10.1111/j.1151-2916.1980.tb10638.x,unknown,unknown,concrete
119,10.1016/0008-8846(94)90065-5,silica fume,supplementary cementitious material,cement mortar
120,10.1016/j.conbuildmat.2015.08.030,coal fly ash,,concrete
121,10.1016/j.ijimpeng.2010.03.004,steel fiber,reinforced fibre,concrete
122,10.1016/j.matchemphys.2012.12.085,coal fly ash,supplementary cementitious material,concrete
123,10.1016/0148-9062(96)87585-1,mine tailings,unknown,unknown
124,10.1016/j.buildenv.2006.07.015,limestone powder,supplementary cementitious material,cement mortar
125,10.1111/j.1551-2916.2010.03611.x,bagasse ash,supplementary cementitious material,concrete
126,10.1016/j.jnucmat.2014.11.068,metakaolin,supplementary cementitious material,concrete
127,10.1016/j.cemconres.2003.12.026,silica fume,supplementary cementitious material,concrete
128,10.1016/j.cemconcomp.2015.04.013,silica fume,supplementary cementitious material,concrete
129,10.1016/j.conbuildmat.2015.12.070,limestone powder,supplementary cementitious material,concrete
130,10.1016/j.conbuildmat.2010.05.001,silica fume,supplementary cementitious material,concrete
131,10.1016/j.conbuildmat.2013.10.032,coal fly ash,supplementary cementitious material,concrete
132,10.1016/j.conbuildmat.2011.06.018,demolished concrete waste,supplementary cementitious material,concrete
133,10.1016/j.conbuildmat.2014.08.019,limestone powder,supplementary cementitious material,cement mortar
134,10.1016/j.fuel.2007.05.027,biomass fly ash,supplementary cementitious material,concrete
135,10.1016/j.cemconcomp.2007.06.003,silica fume,supplementary cementitious material,concrete
136,10.1111/jace.13960,unknown,unknown,concrete
137,10.1016/j.conbuildmat.2015.07.001,Class F fly ash,supplementary cementitious material,concrete
138,10.1016/j.conbuildmat.2015.07.001,silica fume,supplementary cementitious material,concrete
139,10.1016/j.conbuildmat.2016.02.201,steel slag,supplementary cementitious material,concrete
140,10.1016/j.cemconcomp.2012.02.005,nano-silica,supplementary cementitious material,concrete
141,10.1016/0008-8846(84)90033-4,silica fume,supplementary cementitious material,concrete
142,10.1016/j.jnucmat.2015.11.016,electric arc furnace slag,supplementary cementitious material,concrete
143,10.1016/j.conbuildmat.2012.11.105,coal fly ash,supplementary cementitious material,concrete
144,10.1016/j.conbuildmat.2012.09.062,coal fly ash,supplementary cementitious material,concrete
145,10.1016/j.fuel.2012.12.070,coal fly ash,geopolymer,concrete
146,10.1016/j.conbuildmat.2013.07.036,,fine aggregate,concrete
147,10.1016/0142-9612(86)90035-9,unknown,unknown,concrete
148,10.1111/j.1551-2916.2008.02625.x,coal fly ash,supplementary cementitious material,concrete
149,10.1016/j.conbuildmat.2013.08.086,silica fume,supplementary cementitious material,concrete
150,10.1016/j.conbuildmat.2011.06.064,silica fume,supplementary cementitious material,concrete
151,10.1111/j.1151-2916.1977.tb14109.x,unknown,unknown,concrete
152,10.1111/j.1151-2916.1985.tb10125.x,blast furnace slag,clinker feedstock,concrete
153,10.1111/j.1151-2916.1930.tb17067.x,unknown,unknown,concrete
154,10.1016/j.conbuildmat.2015.08.099,coal fly ash,supplementary cementitious material,concrete
155,10.1016/0022-3913(82)90303-1,unknown,unknown,concrete
156,10.1016/j.jnucmat.2010.10.007,waste glass,unknown,concrete
157,10.1016/j.matlet.2016.04.121,steel slag,geopolymer,concrete
158,10.1016/j.cemconres.2006.03.022,Class F fly ash,geopolymer,concrete
159,10.1016/j.conbuildmat.2010.11.087,zeolite,clinker feedstock,concrete
160,10.1016/j.cemconcomp.2011.10.002,fly ash,supplementary cementitious material,concrete
161,10.1016/j.conbuildmat.2015.05.017,coal bottom ash,supplementary cementitious material,concrete
162,10.1016/j.conbuildmat.2012.04.075,silica fume,unknown,concrete
163,10.1016/j.cemconres.2012.06.009,coal fly ash,supplementary cementitious material,concrete
164,10.1016/0029-5493(66)90138-5,unknown,unknown,concrete
165,10.1016/j.conbuildmat.2015.04.020,Class F fly ash,geopolymer,geopolymer mortar
166,10.1016/j.conbuildmat.2011.12.028,fine recycled concrete aggregate,coarse aggregate,concrete
167,10.1016/j.conbuildmat.2012.02.034,coal fly ash,supplementary cementitious material,concrete
168,10.1016/0022-3913(68)90155-8,unknown,unknown,concrete
169,10.1016/j.fuel.2013.04.015,fine recycled concrete aggregate,geopolymer,concrete
170,10.1016/j.conbuildmat.2015.02.068,Class F fly ash,supplementary cementitious material,concrete
171,10.1016/j.conbuildmat.2015.09.030,coal fly ash,supplementary cementitious material,concrete
172,10.1016/j.jhazmat.2006.09.033,limestone powder,geopolymer,geopolymer mortar
173,10.1016/j.jhazmat.2006.09.033,metakaolin,geopolymer,geopolymer mortar
174,10.1016/j.conbuildmat.2009.06.008,silica fume,superplasticizer,concrete
175,10.1016/0008-8846(86)90112-2,coal fly ash,supplementary cementitious material,concrete
176,10.1016/j.conbuildmat.2007.01.002,Class C fly ash,supplementary cementitious material,concrete
177,10.1016/0008-8846(96)00089-0,blast furnace slag,supplementary cementitious material,concrete
178,10.1016/j.fuel.2015.01.029,coal fly ash,geopolymer,unknown
179,10.1007/bf00569291,coal fly ash,supplementary cementitious material,concrete
180,10.1007/s10853-013-7610-4,coal fly ash,geopolymer,concrete
181,10.1007/bf01105052,unknown,unknown,concrete
182,10.1007/s10853-012-7090-y,coal fly ash,geopolymer,concrete
183,10.1007/s10853-006-0584-8,coal fly ash,supplementary cementitious material,concrete
184,10.1007/s10853-005-1821-2,waste glass,supplementary cementitious material,concrete
185,10.1002/fam.2198,steel fiber,reinforced fibre,concrete
186,10.1007/s10856-006-9843-0,unknown,unknown,concrete
187,10.1007/s12613-016-1341-x,red mud,supplementary cementitious material,concrete
188,10.1007/s13369-017-2685-x,coal bottom ash,supplementary cementitious material,concrete
189,10.1016/j.cemconres.2003.12.018,metakaolin,supplementary cementitious material,concrete
190,10.1016/j.cemconres.2018.08.002,metakaolin,supplementary cementitious material,concrete
191,10.1016/j.conbuildmat.2012.11.039,steel slag,supplementary cementitious material,concrete
192,10.1016/j.conbuildmat.2020.118885,waste rubber particles,supplementary cementitious material,concrete
193,10.1016/j.conbuildmat.2021.126280,unknown,unknown,concrete
194,10.1016/j.fuel.2006.01.019,coal fly ash,supplementary cementitious material,concrete
195,10.1016/j.matchar.2008.11.011,blast furnace slag,supplementary cementitious material,concrete
196,10.1002/suco.201400095,waste glass,supplementary cementitious material,concrete
197,10.1007/s13369-012-0285-3,limestone,supplementary cementitious material,concrete
198,10.1016/j.cemconcomp.2010.07.005,blast furnace slag,supplementary cementitious material,concrete
199,10.1016/j.cemconcomp.2013.09.010,unknown,supplementary cementitious material,concrete
200,10.1016/j.conbuildmat.2008.10.003,ladle furnace slag,supplementary cementitious material,unknown
201,10.1016/j.conbuildmat.2009.06.035,silica fume,coarse aggregate,concrete
202,10.1016/j.conbuildmat.2013.11.002,Class F fly ash,supplementary cementitious material,concrete
203,10.1016/j.conbuildmat.2016.04.091,limestone powder,supplementary cementitious material,concrete
204,10.1016/j.conbuildmat.2017.07.051,coal fly ash,supplementary cementitious material,concrete
205,10.1016/j.conbuildmat.2017.11.023,Class F fly ash,geopolymer,concrete
206,10.1016/j.conbuildmat.2018.01.176,unknown,unknown,concrete
207,10.1016/j.conbuildmat.2019.05.156,electric arc furnace slag,supplementary cementitious material,concrete
208,10.1016/j.conbuildmat.2019.116980,blast furnace slag,supplementary cementitious material,concrete
209,10.1016/j.conbuildmat.2020.119205,calcium carbide residue,supplementary cementitious material,concrete
210,10.1016/j.conbuildmat.2020.119205,coal fly ash,supplementary cementitious material,concrete
211,10.1016/s0008-8846(02)00763-9,steel slag,supplementary cementitious material,concrete
212,10.1007/s10856-010-4146-x,waste glass,supplementary cementitious material,concrete
213,10.1007/s12046-016-0462-2,blast furnace slag,lightweight aggregate,concrete
214,10.1016/j.cemconcomp.2009.02.008,unknown,unknown,concrete
215,10.1016/j.cemconcomp.2012.02.013,silica fume,supplementary cementitious material,concrete
216,10.1016/j.cemconcomp.2012.02.013,metakaolin,supplementary cementitious material,concrete
217,10.1016/j.cemconcomp.2020.103665,steel fiber,reinforced fibre,concrete
218,10.1016/j.conbuildmat.2013.10.072,unknown,unknown,concrete
219,10.1016/j.conbuildmat.2016.12.119,construction and demolition waste,fine aggregate,concrete
220,10.1016/j.conbuildmat.2017.12.081,MSWI fly ash,supplementary cementitious material,concrete
221,10.1016/j.conbuildmat.2021.125209,coal fly ash,supplementary cementitious material,concrete
222,10.1016/j.envpol.2019.03.124,MSWI fly ash,supplementary cementitious material,concrete
223,10.1016/j.jclepro.2016.09.147,limestone powder,geopolymer,concrete
224,10.1016/j.wasman.2005.10.016,recycled aggregate,fine aggregate,concrete
225,10.1007/s10853-006-0376-1,silica fume,geopolymer,concrete
226,10.1016/j.buildenv.2005.04.023,blast furnace slag,supplementary cementitious material,concrete
227,10.1016/j.cemconres.2008.04.006,blast furnace slag,supplementary cementitious material,concrete
228,10.1016/j.cemconres.2016.09.001,steel slag,coarse aggregate,concrete
229,10.1016/j.conbuildmat.2011.12.106,coal fly ash,supplementary cementitious material,concrete
230,10.1016/j.conbuildmat.2014.09.096,limestone powder,supplementary cementitious material,cement mortar
231,10.1016/j.conbuildmat.2016.06.014,silica fume,supplementary cementitious material,concrete
232,10.1016/j.jclepro.2019.03.048,unknown,unknown,concrete
233,10.1016/j.jclepro.2020.122389,limestone powder,geopolymer,concrete
234,10.1016/s0008-8846(99)00160-x,coal fly ash,supplementary cementitious material,concrete
235,10.1002/suco.201900479,Class F fly ash,geopolymer,geopolymer mortar
236,10.1007/bf02914397,unknown,unknown,concrete
237,10.1016/j.cemconcomp.2018.12.007,coal fly ash,geopolymer,concrete
238,10.1016/j.cemconcomp.2018.12.007,coal fly ash,geopolymer,geopolymer paste
239,10.1016/j.cemconres.2013.07.006,coal fly ash,supplementary cementitious material,concrete
240,10.1016/j.conbuildmat.2010.06.060,limestone powder,supplementary cementitious material,concrete
241,10.1016/j.conbuildmat.2017.04.159,sewage sludge ash,supplementary cementitious material,concrete
242,10.1016/j.conbuildmat.2017.05.051,coal fly ash,supplementary cementitious material,concrete
243,10.1016/j.conbuildmat.2017.06.040,ladle furnace slag,supplementary cementitious material,concrete
244,10.1016/j.conbuildmat.2017.06.040,fly ash,supplementary cementitious material,concrete
245,10.1016/j.conbuildmat.2018.01.138,silica fume,supplementary cementitious material,concrete
246,10.1016/j.conbuildmat.2018.02.148,blast furnace slag,supplementary cementitious material,concrete
247,10.1016/j.conbuildmat.2018.09.090,unknown,unknown,concrete
248,10.1016/j.conbuildmat.2019.07.095,limestone powder,filler,concrete
249,10.1016/j.conbuildmat.2019.117868,fine recycled concrete aggregate,geopolymer,concrete
250,10.1016/j.conbuildmat.2020.119239,coal bottom ash,supplementary cementitious material,concrete
251,10.1016/j.hbrcj.2012.10.001,kaolinite,supplementary cementitious material,concrete
252,10.1016/j.hbrcj.2012.10.001,blast furnace slag,supplementary cementitious material,concrete
253,10.1016/j.jclepro.2020.120514,limestone powder,supplementary cementitious material,concrete
254,10.1016/j.proeng.2011.12.591,limestone powder,supplementary cementitious material,concrete
255,10.1016/j.proeng.2017.04.282,MSWI bottom ash,fine aggregate,concrete
256,10.1016/j.resconrec.2015.05.009,unknown,unknown,concrete pavement
257,10.1016/j.wasman.2018.06.030,MSWI bottom ash,supplementary cementitious material,concrete
258,10.1016/s0008-8846(01)00683-4,red mud,supplementary cementitious material,concrete
259,10.1016/s0008-8846(98)00133-1,silica fume,supplementary cementitious material,concrete
260,10.1002/suco.202000155,coal fly ash,supplementary cementitious material,concrete
261,10.1016/j.cemconcomp.2012.09.001,unknown,unknown,concrete
262,10.1016/j.cemconres.2013.01.007,unknown,unknown,concrete
263,10.1016/j.cemconres.2016.04.007,fine recycled concrete aggregate,geopolymer,unknown
264,10.1016/j.conbuildmat.2006.03.002,coal fly ash,supplementary cementitious material,concrete
265,10.1016/j.conbuildmat.2016.02.185,fine recycled concrete aggregate,fine aggregate,concrete
266,10.1016/j.conbuildmat.2017.11.044,mineral,reinforced fibre,concrete
267,10.1016/j.conbuildmat.2018.07.079,blast furnace slag,supplementary cementitious material,concrete
268,10.1016/j.conbuildmat.2019.117083,blast furnace slag,supplementary cementitious material,concrete
269,10.1016/j.matchar.2011.04.016,steel slag,supplementary cementitious material,concrete
270,10.1007/bf01290288,unknown,unknown,concrete
271,10.1007/bf02472254,coal fly ash,supplementary cementitious material,concrete
272,10.1007/s11356-016-7943-z,coal fly ash,supplementary cementitious material,concrete
273,10.1007/s11595-013-0654-0,Class C fly ash,geopolymer,concrete
274,10.1007/s13369-013-0606-1,coal fly ash,supplementary cementitious material,concrete
275,10.1016/j.asej.2013.08.001,unknown,unknown,concrete
276,10.1016/j.cemconres.2004.12.011,blast furnace slag,supplementary cementitious material,concrete
277,10.1016/j.cemconres.2012.08.013,silica,supplementary cementitious material,concrete
278,10.1016/j.cemconres.2012.08.013,silica fume,supplementary cementitious material,concrete
279,10.1016/j.cemconres.2019.105895,coal fly ash,geopolymer,concrete
280,10.1016/j.ceramint.2014.01.091,unknown,unknown,concrete
281,10.1016/j.conbuildmat.2012.02.090,blast furnace slag,supplementary cementitious material,concrete
282,10.1016/j.conbuildmat.2018.12.174,steel slag,filler,concrete
283,10.1016/j.conbuildmat.2019.01.103,silica fume,supplementary cementitious material,concrete
284,10.1016/j.conbuildmat.2019.01.103,coal fly ash,supplementary cementitious material,concrete
285,10.1016/j.conbuildmat.2010.06.024,silica fume,supplementary cementitious material,concrete
286,10.1016/j.conbuildmat.2019.07.130,coal bottom ash,fine aggregate,concrete
287,10.1016/j.conbuildmat.2013.03.026,natural pozzolan,supplementary cementitious material,concrete
288,10.1016/j.conbuildmat.2020.118169,limestone,supplementary cementitious material,concrete
289,10.1016/j.conbuildmat.2015.09.039,blast furnace slag,fine aggregate,concrete
290,10.1016/j.conbuildmat.2018.11.173,biomass fly ash,supplementary cementitious material,concrete
291,10.1016/j.conbuildmat.2019.116960,coal fly ash,geopolymer,concrete
292,10.1016/j.conbuildmat.2020.118979,unknown,unknown,concrete
293,10.1016/j.corsci.2016.08.004,coal fly ash,supplementary cementitious material,concrete
294,10.1016/j.hbrcj.2015.06.005,blast furnace slag,fine aggregate,concrete
295,10.1016/j.jclepro.2018.03.094,mine tailings,geopolymer,concrete
296,10.1016/j.jclepro.2018.09.265,biomass fly ash,geopolymer,concrete
297,10.1016/j.jclepro.2018.12.118,limestone powder,supplementary cementitious material,concrete
298,10.1016/j.jclepro.2021.128168,coal fly ash,geopolymer,concrete
299,10.1016/j.jnoncrysol.2018.12.033,coal fly ash,geopolymer,concrete
300,10.1016/j.powtec.2015.09.012,mine tailings,supplementary cementitious material,concrete
301,10.1016/s0008-8846(02)01005-0,blast furnace slag,supplementary cementitious material,concrete
302,10.1016/s0008-8846(02)01032-3,silica fume,fine aggregate,concrete
303,10.1016/s0008-8846(98)00010-6,silica fume,supplementary cementitious material,concrete
304,10.1016/s0008-8846(99)00203-3,coal fly ash,supplementary cementitious material,concrete
305,10.1016/s0008-8846(03)00212-6,Class F fly ash,fine aggregate,concrete
306,10.1016/s0958-9465(99)00010-4,zeolite,supplementary cementitious material,concrete
307,10.1007/s00339-018-1759-2,metakaolin,supplementary cementitious material,concrete
308,10.1007/s10853-013-7950-0,fine recycled concrete aggregate,geopolymer,concrete
309,10.1007/s11595-011-0265-6,blast furnace slag,supplementary cementitious material,concrete
310,10.1007/s13369-014-1217-1,coal fly ash,geopolymer,geopolymer paste
311,10.1016/j.cemconres.2015.11.012,blast furnace slag,supplementary cementitious material,concrete
312,10.1016/j.conbuildmat.2016.02.043,coal fly ash,clinker feedstock,concrete
313,10.1016/j.conbuildmat.2016.02.088,blast furnace slag,supplementary cementitious material,concrete
314,10.1016/j.conbuildmat.2017.03.245,blast furnace slag,supplementary cementitious material,concrete
315,10.1016/j.conbuildmat.2017.08.036,blast furnace slag,supplementary cementitious material,concrete
316,10.1016/j.conbuildmat.2018.04.147,fly ash,supplementary cementitious material,concrete
317,10.1016/j.conbuildmat.2019.01.208,fine recycled concrete aggregate,supplementary cementitious material,concrete
318,10.1016/j.conbuildmat.2019.06.062,limestone powder,supplementary cementitious material,concrete
319,10.1016/j.conbuildmat.2019.08.024,biomass fly ash,fine aggregate,unknown
320,10.1016/j.conbuildmat.2019.117882,limestone powder,supplementary cementitious material,concrete
321,10.1016/j.jclepro.2015.09.124,coal fly ash,supplementary cementitious material,concrete
322,10.1016/j.jclepro.2016.02.072,steel slag,supplementary cementitious material,concrete
323,10.1016/j.jenvman.2015.08.005,unknown,unknown,concrete
324,10.1016/j.matdes.2016.11.048,electric arc furnace slag,fine aggregate,concrete
325,10.1016/j.resconrec.2018.04.023,steel slag,supplementary cementitious material,concrete
326,10.1016/s0008-8846(98)00073-8,silica fume,reinforced fibre,concrete
327,10.1016/s0008-8846(99)00153-2,coal fly ash,supplementary cementitious material,concrete
328,10.1021/es200968a,biomass fly ash,supplementary cementitious material,cement mortar
329,10.1021/ie4018594,coal fly ash,fine aggregate,concrete
330,10.1007/bf02479287,Corex slag,supplementary cementitious material,concrete
331,10.1007/s10853-011-5490-z,blast furnace slag,geopolymer,concrete
332,10.1016/0008-8846(91)90001-x,coal fly ash,supplementary cementitious material,concrete
333,10.1016/0008-8846(91)90068-s,steel slag,fine aggregate,concrete
334,10.1016/0008-8846(95)00045-e,limestone powder,supplementary cementitious material,concrete
335,10.1016/0008-8846(95)00045-e,limestone powder,supplementary cementitious material,unknown
336,10.1016/j.cemconcomp.2004.02.040,silica fume,supplementary cementitious material,concrete
337,10.1016/j.cemconcomp.2017.11.012,steel slag,fine aggregate,concrete
338,10.1016/j.cemconcomp.2017.06.011,coal fly ash,supplementary cementitious material,concrete
339,10.1016/j.cemconcomp.2018.10.014,kaolinite,geopolymer,concrete
340,10.1016/j.cemconcomp.2021.104128,blast furnace slag,supplementary cementitious material,cement mortar
341,10.1016/j.cemconres.2006.11.021,unknown,unknown,unknown
342,10.1016/j.conbuildmat.2010.02.015,silica fume,supplementary cementitious material,concrete
343,10.1016/j.conbuildmat.2018.10.121,blast furnace slag,supplementary cementitious material,concrete
344,10.1016/j.conbuildmat.2012.11.021,fine recycled concrete aggregate,fine aggregate,concrete
345,10.1016/j.conbuildmat.2019.03.208,unknown,unknown,mortar
